Topic,Words,Frequency,Timestamp,Global_Representation
30,"baby come, cry baby, telefons, telefonieren, wort baby",122,1995-1999,Das Telefon als Sehnsuchtsmotiv
31,"späten 1990er, jugendlicher verliebtheit, typisches pop, euro dance, jugendlicher leidenschaft",605,1995-1999,Jugendliche Liebesballade
32,"lääve, flower child, childhood, erwachsenseins, forever young",172,1995-1999,Nostalgie der Jugend
33,"let snow, frightful, äußere kälte, december, schnees",51,1995-1999,Winter als Liebesmetapher
34,"sandmann, schlaf wiegt, kind schlaf, zärtliches wiegenlied, nächtliches wiegenlied",36,1995-1999,Schlaflieder
35,"späten 1990er, arbeitswelt, bildschirmen, bevölkerung, algorithmen",722,1995-1999,Technokratische Dystopie und Systemkritik
36,"gold steht, wanderin, goldes, once had, papierkrone",10,1995-1999,Edelsteine als Motiv für Beständigkeit
37,"snoop, dogg, snoop dogg, west coast, cypress",90,1995-1999,Westküsten‑Gangsta‑Identität
38,"dice, lady luck, kartenspiels, würfel, joker",50,1995-1999,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, american dream, rassistische, jonny",100,1995-1999,Amerikanische Identität und Kolonialismus
40,"bekenntnis bedingungsloser, zärtliches bekenntnis, bedingungsloser unterstützung, bekenntnis bedingungslose, intimes bekenntnis",319,1995-1999,Bedingungslose Unterstützung in Beziehungen
41,"house blues, blues tradition, wort blues, 2000, low down",27,1995-1999,Blues als Ausdruck von Schmerz
42,"cowboys, pferde, dixie, reiter, pferdes",53,1995-1999,Amerikanischer Western‑Mythos
43,"herbstes, autumn, sommerwind, laubs, frühjahr",105,1995-1999,Jahreszeiten als Motiv des Wandels
45,"by river, fluss steht, gewässer, undertow, ertrinkens",135,1995-1999,Wasser als Motiv
46,"euro dance, dance ära, beispiel euro, späten 1990er, erotischer",303,1995-1999,Begierde und körperliche Verführung
48,"los los, broadway, harlem, york city, memphis",123,1995-1999,Urbanes Stadtporträt
49,"indigo, farbe blau, no sunshine, mood indigo, blau steht",83,1995-1999,Blau als Symbol der Melancholie
50,"runaway, shape, hee, ready made, wirrer monolog",307,1995-1999,Flucht als Motiv der Bewältigung
51,"spaceman, alien, paradieses, raumschiff, neverland",106,1995-1999,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"browns, james browns, funky soul, funk ästhetik, study",7,1995-1999,"Funk, Soul und Tanzkultur"
53,"busta, busta rhymes, wu, tang, wu tang",311,1995-1999,Hip‑Hop Machtdemonstration
54,"deluxe, samy, samy deluxe, rap handwerk, samys",4,1995-1999,Selbstinszenierung im Rap und Szenekritik
55,"hollywoods, bayern, falstaff, dolores, got loaded",22,1995-1999,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, christi, geburt christi, heavenly peace",34,1995-1999,Weihnachten und Gott
57,"zappa, überspitztes, zappas, bloodhound, bloodhound gang",373,1995-1999,Satirische Gesellschaftskritik
58,"rose steht, barbara, blümchen, rose entfaltet, blüten",69,1995-1999,Natur als Liebesmetapher
59,"camouflage, täters, flipside, erwartungen genügen, mask",156,1995-1999,Symbol der Verstellung und Schutzmechanismen
60,"cold outside, baby cold, emotionaler erstarrung, mandy, ramona",79,1995-1999,Die Metaphorik der Kälte als emotionale Distanz
62,"schmetterlings, schmetterling, schmetterlinge, nutzt schmetterlings, kribbeln",16,1995-1999,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"nas, dmx, niggas, thug, thugs",145,1995-1999,Straßenleben und Gewalt
64,"white christmas, jingle, sleigh, schnees, jingle bells",36,1995-1999,Weihnachten und Winter
-1,"zahlen zahlen, gig, laut laut, 2000, wyclef",6014,2000-2004,Rauschen
0,"monolog sehnsucht, monolog verzweiflung, monolog sprecherin, monolog zerrissenheit, wirrer monolog",2067,2000-2004,Zerrissene Selbstreflexion
1,"frühe 2000er, tanzmusik, elektronischen, beispiel frühe, rave",684,2000-2004,Kollektiver Tanzrausch
2,"regen steht, nutzt regens, wetterphänomen, äußere wetter, raining",181,2000-2004,Regen als Trauermotiv
3,"weihnachtszeit, weihnachtsfest, merry christmas, weihnachtsmann, mistelzweig",218,2000-2004,Weihnachtslieder
4,"superstar, ärzte, bissiger, konsumgesellschaft, satirisches",340,2000-2004,Konsumkritik
5,"drogenhandel, gangsta, niggas, 50, machtdemonstration",381,2000-2004,"Luxus, Gewalt, Kriminalität"
6,"motors, mercury, driver, motoren, fahrers",128,2000-2004,Autofahren als Freiheitsmotiv
7,"liebe allumfassende, überschwängliches, liebesmanifest, intensives bekenntnis, leidenschaftliches bekenntnis",887,2000-2004,Ewige Liebesbindung
8,"zugfahrt, love train, eisenbahn, gleis, choo",74,2000-2004,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, selbstzerstörung verzweifelten, crawling, selbstverletzung, dämon",941,2000-2004,Zerrissene Psyche
10,"gläubigen, christlichen, christus, christlicher, theologische",152,2000-2004,Göttliche Gegenwart
11,"light fire, eternal flame, venus, leidenschaft zerstörung, wobei feuer",144,2000-2004,Feuer als Motiv der Leidenschaft
12,"angel eyes, schutzengel, engel steht, schutzengels, fallen angel",126,2000-2004,Engelsmotive
13,"babylon, düsteres panorama, bevölkerung, eindringlicher protest, volk",576,2000-2004,Gesellschaftskritik und Krieg
14,"sommerliebe, moonglow, luna, summertime, sommerromanze",99,2000-2004,Mondmotive und Liebe
15,"jah, gentleman, babylon, verantwortung einzelnen, kollektives erwachen",375,2000-2004,Solidarität und Kollektivität
16,"maritime, segelns, seemann, segel, schiffes",206,2000-2004,Motive des Meeres
17,"zuhause ort, heim ort, way home, ort emotionaler, like home",201,2000-2004,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, angst erneutem, unerfüllter liebe, unerwiderter, selbstvorwurf",2148,2000-2004,Unerwiderte Liebe
19,"vermittelt optimistische, manifestes, optimistische botschaft, durchhaltewillen, manifestierter aufruf",660,2000-2004,Selbstermächtigung und Resilienz
20,"ferris, mc, rappers, deutschen rap, deutschen hip",353,2000-2004,Aggressive Selbstinszenierung
21,"hirten, bethlehem, christi, inkarnation, noel",61,2000-2004,Christlicher Glaube
22,"verführerin, verlangen selbstschutz, addicted, obsessiver, beziehung liebe",544,2000-2004,Toxische Liebesabhängigkeit
23,"kaliforniens, kansas, kalifornischen, kentucky, kansas city",43,2000-2004,Sehnsucht nach Amerika
24,"ex partners, selbstbehauptungs, liar, erdrückenden beziehung, befreiung toxischen",454,2000-2004,Befreiung aus toxischer Beziehung
25,"blackbird, adler, irdischen beschränkungen, over rainbow, überwinden begrenzungen",285,2000-2004,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, liebe kosmische, begegnung geliebten, überschwängliches, irdisch",456,2000-2004,Liebe als Transzendentes
27,"vater sohn, väterlicher, vaterfigur, schlumpf, tic",103,2000-2004,Eltern‑Kind Bindung
28,"barkeeper, kneipe, letzte bier, jack ripper, sex with",67,2000-2004,Alkohol und Einsamkeit
29,"torheit, fool love, fools love, not love, fool inneres",114,2000-2004,Naivität in der Liebe
30,"telefons, sms, leitung, baby come, operator",140,2000-2004,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, intensives verlangen, jugendlicher leidenschaft, typisches pop, balladen",567,2000-2004,Jugendliche Liebesballade
32,"rückblick unbeschwerte, rollercoaster, erwachsenseins, little one, monday",161,2000-2004,Nostalgie der Jugend
33,"let snow, frightful, schnees, winterliche wetter, nutzt winterliche",67,2000-2004,Winter als Liebesmetapher
34,"sandmann, zärtliches wiegenlied, nächtliches wiegenlied, la le, le lu",37,2000-2004,Schlaflieder
35,"kommentar entfremdung, information, sarkastischer kommentar, daten, wütender protest",751,2000-2004,Technokratische Dystopie und Systemkritik
36,"goldes, gold entfaltet, heart gold, gold steht, treasure",21,2000-2004,Edelsteine als Motiv für Beständigkeit
37,"snoop, dogg, snoop dogg, west coast, gangsta",116,2000-2004,Westküsten‑Gangsta‑Identität
38,"mau, mau mau, würfel, kartenspiels, roulette",56,2000-2004,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, patriotische, patriotismus, american dream",122,2000-2004,Amerikanische Identität und Kolonialismus
40,"bekenntnis bedingungsloser, stand by, bedingungsloser unterstützung, bekenntnis bedingungslose, intimes bekenntnis",359,2000-2004,Bedingungslose Unterstützung in Beziehungen
41,"blues ersten, bessie, blues musikalisches, blues klassisches, musikalisches genre",38,2000-2004,Blues als Ausdruck von Schmerz
42,"cowboys, cowgirl, ranger, pferde, rodeo",57,2000-2004,Amerikanischer Western‑Mythos
43,"autumn, blättern, fallenden blätter, herbstes, sommerwind",131,2000-2004,Jahreszeiten als Motiv des Wandels
45,"fluss steht, waterfall, gewässer, swim, ertrinkens",116,2000-2004,Wasser als Motiv
46,"thug, körperliche anziehung, unmittelbarer körperlicher, verführerin, erotischer",407,2000-2004,Begierde und körperliche Verführung
47,"bushido, unantastbarer, bushido positioniert, deutschen rap, sonny black",32,2000-2004,Unantastbare Rap‑Identität
48,"los los, memphis, broadway, york city, virginia",124,2000-2004,Urbanes Stadtporträt
49,"indigo, farbe blau, wort blue, blau steht, no sunshine",55,2000-2004,Blau als Symbol der Melancholie
50,"runaway, run run, wirrer monolog, running away, fluchtinstinkt",368,2000-2004,Flucht als Motiv der Bewältigung
51,"alien, shangri, shangri la, wonderland, xanadu",113,2000-2004,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"more more, browns, control verweisen, 2002 eindringlicher, eigenständige ressource",2,2000-2004,"Funk, Soul und Tanzkultur"
53,"busta, busta rhymes, niggas, wu, kim",451,2000-2004,Hip‑Hop Machtdemonstration
54,"samy, deluxe, samy deluxe, samys, hamburg",43,2000-2004,Selbstinszenierung im Rap und Szenekritik
55,"hollywoods, unterhaltungsindustrie, showbusiness, la land, inn",31,2000-2004,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, christi, heavenly peace, geburt christi",33,2000-2004,Weihnachten und Gott
57,"zappa, deichkind, überspitztes, pussy, partyszene",431,2000-2004,Satirische Gesellschaftskritik
58,"rose steht, blüht, schwarzen rose, rut, schwarze rose",67,2000-2004,Natur als Liebesmetapher
59,"verletzlichkeit verbergen, creep, leech, masquerade, täters",181,2000-2004,Symbol der Verstellung und Schutzmechanismen
60,"cold outside, as ice, cold cold, baby cold, frostigen",91,2000-2004,Die Metaphorik der Kälte als emotionale Distanz
61,"aggro, fler, aggro berlin, kommerziellem, projiziert versen",1,2000-2004,Deutschrap Battle‑Provokation
62,"schmetterling, schmetterlings, schmetterlinge, papillon, nutzt schmetterlings",27,2000-2004,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"nas, dmx, niggas, thug, nigga",161,2000-2004,Straßenleben und Gewalt
64,"white christmas, jingle, sleigh, weihnachtszeit, jingle bells",41,2000-2004,Weihnachten und Winter
65,"eko, eko fresh, savas, könig deutschland, deutschen rap",9,2000-2004,Selbstinszenierung im Rap
-1,"zahlen zahlen, gig, laut laut, sean, dancehall",6732,2005-2009,Rauschen
0,"monolog sehnsucht, monolog sprecherin, wirrer monolog, monolog verzweiflung, monolog erinnerung",2344,2005-2009,Zerrissene Selbstreflexion
1,"körperliche bewegung, elektronischen, tanzmusik, rave, clubszene",688,2005-2009,Kollektiver Tanzrausch
2,"regen steht, rainy day, äußere wetter, regnerischen, regens steht",245,2005-2009,Regen als Trauermotiv
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, weihnachtsmanns",243,2005-2009,Weihnachtslieder
4,"superstar, konsumgesellschaft, bissiger, satirisches, bissiger kommentar",371,2005-2009,Konsumkritik
5,"drogenhandel, rappers, machtdemonstration, nigga, teure autos",522,2005-2009,"Luxus, Gewalt, Kriminalität"
6,"motors, fahr, driver, fahrzeugs, rodeo",160,2005-2009,Autofahren als Freiheitsmotiv
7,"liebe allumfassende, überschwängliches, liebesmanifest, intensives bekenntnis, unmittelbarkeit gefühls",772,2005-2009,Ewige Liebesbindung
8,"zugfahrt, choo, lokomotive, voranschreiten lebens, choo choo",76,2005-2009,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, selbstverletzung, selbstzerstörung verzweifelten, wunsch rettung, manifestiert aussage",1128,2005-2009,Zerrissene Psyche
10,"gläubigen, christlicher, christlichen, vertrauen göttliche, thee",132,2005-2009,Göttliche Gegenwart
11,"wobei feuer, verzehrend, nutzt feuers, fiebers, inferno",160,2005-2009,Feuer als Motiv der Leidenschaft
12,"angel eyes, guardian angel, engel steht, guardian, little angel",101,2005-2009,Engelsmotive
13,"bevölkerung, düsteres panorama, eindringlicher protest, babylon, wütender protest",717,2005-2009,Gesellschaftskritik und Krieg
14,"moonshine, sommerliebe, dream little, boys summer, little dream",93,2005-2009,Mondmotive und Liebe
15,"jah, nneka, leidenschaftlicher aufruf, kollektives erwachen, kollektive gewissen",439,2005-2009,Solidarität und Kollektivität
16,"segel, kapitän, segelns, maritime, seemann",235,2005-2009,Motive des Meeres
17,"heimweh, zuhause ort, way home, heimkommen, winding",222,2005-2009,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, zerbrechlichen beziehung, ex partners, intensives innenleben, sehnsucht selbstschutz",2340,2005-2009,Unerwiderte Liebe
19,"vermittelt optimistische, manifestierter aufruf, botschaft leben, manifestes, aufruf bewussten",847,2005-2009,Selbstermächtigung und Resilienz
20,"rappers, deutschen rap, machtdemonstration, deutschen hip, rap szene",478,2005-2009,Aggressive Selbstinszenierung
21,"hirten, bethlehem, christi, noel, inkarnation",90,2005-2009,Christlicher Glaube
22,"addicted, verführerin, verlangen selbstschutz, beziehung liebe, liebe gewalt",654,2005-2009,Toxische Liebesabhängigkeit
23,"kaliforniens, mississippi, südens, kalifornischen, kansas city",51,2005-2009,Sehnsucht nach Amerika
24,"ex partners, befreiung toxischen, selbstbehauptungs, täters, erdrückenden beziehung",573,2005-2009,Befreiung aus toxischer Beziehung
25,"blackbird, over rainbow, adler, fliegen steht, sternwunsches",280,2005-2009,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, begegnung geliebten, überschwängliches, alltägliche transzendiert, shooting star",459,2005-2009,Liebe als Transzendentes
27,"rolle mutter, mutter quelle, mütterlicher liebe, väterlicher, fatima",115,2005-2009,Eltern‑Kind Bindung
28,"alkohols, bulldog, schluck, red wine, pandora",65,2005-2009,Alkohol und Einsamkeit
29,"win again, only fool, fools like, fool love, dummheit",97,2005-2009,Naivität in der Liebe
30,"telefons, ring ring, effie, cry baby, sehnsucht unsicherheit",137,2005-2009,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, jugendlicher leidenschaft, liebesmanifest, intensives verlangen, jugendlicher liebe",539,2005-2009,Jugendliche Liebesballade
32,"toyland, rückblick unbeschwerte, nachdenklicher rückblick, handtuch, were young",199,2005-2009,Nostalgie der Jugend
33,"let snow, schnees, äußere kälte, frightful, nutzt winterliche",104,2005-2009,Winter als Liebesmetapher
34,"sandmann, beruhigender befehl, nächtliches wiegenlied, slumbers, rhythmus einschlafen",30,2005-2009,Schlaflieder
35,"arbeitswelt, online, information, bildschirme, sarkastischer kommentar",762,2005-2009,Technokratische Dystopie und Systemkritik
36,"goldes, deeply, diamonds are, gold steht, pure gold",32,2005-2009,Edelsteine als Motiv für Beständigkeit
37,"snoop, dogg, snoop dogg, wayne, gangsta",91,2005-2009,Westküsten‑Gangsta‑Identität
38,"roulette, kartenspiels, glücksspiels, würfel, dice",68,2005-2009,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, sheriff, indigenen, miss america",93,2005-2009,Amerikanische Identität und Kolonialismus
40,"stand by, bekenntnis bedingungsloser, bedingungsloser unterstützung, intimes bekenntnis, zärtliches bekenntnis",400,2005-2009,Bedingungslose Unterstützung in Beziehungen
41,"singing blues, sing blues, felt more, kuh, kkk",16,2005-2009,Blues als Ausdruck von Schmerz
42,"cowboys, pferdes, pferde, rodeo, lasso",54,2005-2009,Amerikanischer Western‑Mythos
43,"indian summer, indian, autumn, laub, if go",125,2005-2009,Jahreszeiten als Motiv des Wandels
44,"kollegah, kollegahs, machtdemonstration, unantastbarer, kollegah positioniert",27,2005-2009,"Inszenierung von Macht, Luxus und Gewalt"
45,"by river, swim, fluss steht, skaten, leiche",136,2005-2009,Wasser als Motiv
46,"verführerin, erotische, erotischer, girlfriend, körperliche verlangen",461,2005-2009,Begierde und körperliche Verführung
47,"bushido, bushido positioniert, deutschen rap, bushidos, sonny",58,2005-2009,Unantastbare Rap‑Identität
48,"los los, broadway, brooklyn, york city, urbaner entfremdung",127,2005-2009,Urbanes Stadtporträt
49,"farbe blau, no sunshine, shades blue, blue inneres, blau steht",55,2005-2009,Blau als Symbol der Melancholie
50,"runaway, drang flucht, wirrer monolog, alice, square one",481,2005-2009,Flucht als Motiv der Bewältigung
51,"astronaut, spaceman, alien, raumschiff, paradieses",107,2005-2009,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
52,"funk geprägter, aufruft festhalten, verloren zentrum, gewicht übernehmen, kultur erzählerfigur",1,2005-2009,"Funk, Soul und Tanzkultur"
53,"busta, wu, eminems, wu tang, tang",209,2005-2009,Hip‑Hop Machtdemonstration
54,"samy, deluxe, samy deluxe, samys, hamburg",52,2005-2009,Selbstinszenierung im Rap und Szenekritik
55,"hollywoods, unterhaltungsindustrie, bergman, ingmar, streben berühmtheit",39,2005-2009,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, weihnachtsbotschaft, christi",41,2005-2009,Weihnachten und Gott
57,"zappa, überspitztes, deichkind, superstar, überdrehten",476,2005-2009,Satirische Gesellschaftskritik
58,"weiße rose, blüht, barbara, rose steht, schönheit schmerz",71,2005-2009,Natur als Liebesmetapher
59,"tracks tears, masquerade, täters, fassade innerem, sabotage",242,2005-2009,Symbol der Verstellung und Schutzmechanismen
60,"cold outside, baby cold, emotionaler erstarrung, what becomes, frostigen",111,2005-2009,Die Metaphorik der Kälte als emotionale Distanz
61,"fler, farid, farid bang, aggro, fler positioniert",41,2005-2009,Deutschrap Battle‑Provokation
62,"schmetterlings, schmetterling, schmetterlinge, raupe, nutzt schmetterlings",27,2005-2009,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"nas, dmx, compton, niggas, dre",100,2005-2009,Straßenleben und Gewalt
64,"jingle, white christmas, sleigh, jingle bells, christmases",44,2005-2009,Weihnachten und Winter
65,"eko, eko fresh, savas, deutschen hip, deutschen rap",34,2005-2009,Selbstinszenierung im Rap
-1,"zahlen zahlen, gig, glee, laut laut, selbstbehauptungs",7408,2010-2014,Rauschen
0,"monolog sehnsucht, monolog sprecherin, monolog verzweiflung, monolog zerrissenheit, monolog erinnerung",2266,2010-2014,Zerrissene Selbstreflexion
1,"2010er, 2010er jahre, frühen 2010er, kollektiven rausch, körperliche bewegung",702,2010-2014,Kollektiver Tanzrausch
2,"regen steht, regens steht, nutzt regens, umbrella, wetterphänomen",214,2010-2014,Regen als Trauermotiv
3,"weihnachtszeit, weihnachtsfest, merry christmas, weihnachtsmann, mistelzweig",290,2010-2014,Weihnachtslieder
4,"konsumgesellschaft, satirischer kommentar, konsumenten, can buy, bissiger",381,2010-2014,Konsumkritik
5,"drogenhandel, illegalen, niggas, rappers, benz",862,2010-2014,"Luxus, Gewalt, Kriminalität"
6,"motors, driver, autofahrt, mobilen, mobiles",177,2010-2014,Autofahren als Freiheitsmotiv
7,"überschwängliches, leidenschaftliches bekenntnis, liebesmanifest, liebe allumfassende, unmittelbarkeit gefühls",742,2010-2014,Ewige Liebesbindung
8,"zugfahrt, lokomotive, eisenbahn, gleis, choo",77,2010-2014,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, selbstzerstörung verzweifelten, dämon, monsters, selbstverletzung",968,2010-2014,Zerrissene Psyche
10,"gläubigen, christlichen, christlicher, vertrauen göttliche, gegenwart gottes",114,2010-2014,Göttliche Gegenwart
11,"feuers intensive, feuers steht, verzehrend, spiel feuer, wobei feuer",195,2010-2014,Feuer als Motiv der Leidenschaft
12,"schutzengel, angel eyes, wobei engel, reinheit schutz, guardian angel",89,2010-2014,Engelsmotive
13,"bevölkerung, düsteres panorama, sabaton, babylon, eindringlicher protest",629,2010-2014,Gesellschaftskritik und Krieg
14,"sommerromanze, moonshine, sommerliebe, dream little, blue moon",107,2010-2014,Mondmotive und Liebe
15,"jah, gentleman, leidenschaftlicher aufruf, gemeinsames handeln, afrikanischen",437,2010-2014,Solidarität und Kollektivität
16,"kapitän, seemann, segel, maritime, schiffes",309,2010-2014,Motive des Meeres
17,"zuhause ort, heimweh, heimkommen, wort home, home entfaltet",269,2010-2014,Heimat und Zugehörigkeit
18,"innenleben sehnsucht, ex partners, zerbrechlichen beziehung, unerwiderter, sehnsucht selbstschutz",2133,2010-2014,Unerwiderte Liebe
19,"manifestierter aufruf, manifestes, vermittelt optimistische, leben bewusst, aufruf bewussten",974,2010-2014,Selbstermächtigung und Resilienz
20,"deutschen rap, rap szene, machtdemonstration, rappers, savas",523,2010-2014,Aggressive Selbstinszenierung
21,"hirten, bethlehem, inkarnation, neugeborenen, christi",54,2010-2014,Christlicher Glaube
22,"verführerin, verlangen selbstzerstörung, berauschend zerstörerisch, tödlich, voodoo",812,2010-2014,Toxische Liebesabhängigkeit
23,"kaliforniens, kalifornischen, california dreamin, kansas city, louisiana",52,2010-2014,Sehnsucht nach Amerika
24,"ex partners, befreiung toxischen, kraftvolles bekenntnis, erdrückenden beziehung, selbstbehauptungs",499,2010-2014,Befreiung aus toxischer Beziehung
25,"blackbird, bluebird, over rainbow, adler, can fly",353,2010-2014,Fliegen als Freiheitsmotiv 
26,"entfaltet liebe, venus, überschwängliches, quelle licht, begegnung geliebten",508,2010-2014,Liebe als Transzendentes
27,"emotionales bekenntnis, blah, kind vater, 74, vaterfigur",115,2010-2014,Eltern‑Kind Bindung
28,"amy, alkohols, grog, weins, alkohol fluchtmittel",74,2010-2014,Alkohol und Einsamkeit
29,"goody, goody goody, torheit, wort fool, cheated",95,2010-2014,Naivität in der Liebe
30,"telefonieren, call name, telefons, up phone, baby come",124,2010-2014,Das Telefon als Sehnsuchtsmotiv
31,"jugendlicher verliebtheit, glee, intensives verlangen, dum, überschwängliches",459,2010-2014,Jugendliche Liebesballade
32,"rückblick unbeschwerte, peter pan, pan, cro, erwachsenseins",295,2010-2014,Nostalgie der Jugend
33,"let snow, frightful, delightful, schnees, winterliche wetter",80,2010-2014,Winter als Liebesmetapher
34,"sandmann, schlaflied, sandman, zärtliches wiegenlied, nächtliches wiegenlied",20,2010-2014,Schlaflieder
35,"daten, bevölkerung, arbeitswelt, online, algorithmen",741,2010-2014,Technokratische Dystopie und Systemkritik
36,"goldes, gold steht, shine bright, solid gold, gold dust",51,2010-2014,Edelsteine als Motiv für Beständigkeit
37,"snoop, dogg, snoop dogg, west coast, wayne",92,2010-2014,Westküsten‑Gangsta‑Identität
38,"roulette, kartenspiels, poker, glücksspiels, kartenspiel",60,2010-2014,Glücksspiel als Metapher für das Leben
39,"america, amerikanischen traums, outlaw, american dream, obama",127,2010-2014,Amerikanische Identität und Kolonialismus
40,"bekenntnis bedingungsloser, zärtliches bekenntnis, bedingungsloser unterstützung, intimes bekenntnis, stand by",383,2010-2014,Bedingungslose Unterstützung in Beziehungen
41,"blues musikalisches, musikalisches genre, hooker, joe turner, cathouse",24,2010-2014,Blues als Ausdruck von Schmerz
42,"cowboys, pferde, reiter, pferden, pferdes",37,2010-2014,Amerikanischer Western‑Mythos
43,"autumn, herbstes, ende sommers, sandes, schlosses",124,2010-2014,Jahreszeiten als Motiv des Wandels
44,"kollegah, kollegahs, unantastbarer, machtdemonstration, unantastbaren",28,2010-2014,"Inszenierung von Macht, Luxus und Gewalt"
45,"ertrinkens, wasser unbewusste, fluss steht, wobei wasser, river entfaltet",168,2010-2014,Wasser als Motiv
46,"erotische, erotischer, biene, usher, verführerin",426,2010-2014,Begierde und körperliche Verführung
47,"bushido, bushidos, bushido positioniert, deutschen rap, unantastbarer",36,2010-2014,Unantastbare Rap‑Identität
48,"los los, broadway, brooklyn, detroit, york city",135,2010-2014,Urbanes Stadtporträt
49,"indigo, farbe blau, mood indigo, blau steht, wort blue",52,2010-2014,Blau als Symbol der Melancholie
50,"runaway, run run, running away, alice, weglaufens",444,2010-2014,Flucht als Motiv der Bewältigung
51,"alien, ballons, raumschiff, astronauten, sierra",129,2010-2014,Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte
53,"minaj, nicki, nicki minaj, eminems, wu",171,2010-2014,Hip‑Hop Machtdemonstration
54,"samy, deluxe, samy deluxe, samys, deluxe positioniert",30,2010-2014,Selbstinszenierung im Rap und Szenekritik
55,"hollywoods, unterhaltungsindustrie, showbusiness, celluloid, sweet jane",41,2010-2014,"Glamour, Ruhm, Illusion"
56,"silent night, holy night, heavenly peace, christi, weihnachtsbotschaft",32,2010-2014,Weihnachten und Gott
57,"zappa, partyszene, atzen, 257ers, überspitztes",609,2010-2014,Satirische Gesellschaftskritik
58,"barbara, rosen stehen, schönheit dornen, thorn, rose steht",76,2010-2014,Natur als Liebesmetapher
59,"creep, tracks tears, täters, wrecking, masquerade",227,2010-2014,Symbol der Verstellung und Schutzmechanismen
60,"cold outside, baby cold, really can, vater schwester, gefrorene",100,2010-2014,Die Metaphorik der Kälte als emotionale Distanz
61,"fler, farid, farid bang, deutschen rap, ufo361",108,2010-2014,Deutschrap Battle‑Provokation
62,"schmetterlings, schmetterling, schmetterlinge, let love, raupe",13,2010-2014,Schmetterlingsmetaphorik über Wandel und neue Freiheit
63,"nas, niggas, dmx, nigga, compton",74,2010-2014,Straßenleben und Gewalt
64,"jingle, white christmas, sleigh, weihnachtslied, used know",40,2010-2014,Weihnachten und Winter
65,"eko, eko fresh, fresh nutzt, deutschen hip, deutschen rap",97,2010-2014,Selbstinszenierung im Rap
-1,"gig, laut laut, zahlen zahlen, selbstbehauptungs, kurdo",6446,2015-2019,Rauschen
0,"monolog sehnsucht, monolog sprecherin, monolog zerrissenheit, monolog verzweiflung, monolog erinnerung",1963,2015-2019,Zerrissene Selbstreflexion
1,"rave, körperliche bewegung, tanzmusik, elektronischen, manifestierter aufruf",446,2015-2019,Kollektiver Tanzrausch
2,"regen steht, regnerischen, let rain, rain monolog, rainy day",140,2015-2019,Regen als Trauermotiv
3,"weihnachtszeit, merry christmas, weihnachtsfest, claus, santa claus",301,2015-2019,Weihnachtslieder
4,"bissiger, konsumgesellschaft, bissiger kommentar, instagram, social media",336,2015-2019,Konsumkritik
5,"drogenhandel, illegalen, krimineller, gucci, benz",2628,2015-2019,"Luxus, Gewalt, Kriminalität"
6,"motors, mustang, fahrrad, driver, beep",188,2015-2019,Autofahren als Freiheitsmotiv
7,"überschwängliches, liebe allumfassende, liebesmanifest, leidenschaftliches bekenntnis, sinn verleiht",614,2015-2019,Ewige Liebesbindung
8,"eisenbahn, choo, zugfahrt, lokomotive, love train",66,2015-2019,Der Zug als Metapher für das Voranschreiten
9,"inneres gefängnis, selbstzerstörung verzweifelten, monsters, ringen selbstzweifeln, selbstzweifeln wunsch",884,2015-2019,Zerrissene Psyche
10,"gläubigen, christlicher, christlichen, vertrauen göttliche, christus",111,2015-2019,Göttliche Gegenwart
11,"wobei feuer, feuers steht, fire entfaltet, wildfire, spiel feuer",199,2015-2019,Feuer als Motiv der Leidenschaft
12,"schutzengel, angel eyes, guardian angel, wobei engel, guardian",46,2015-2019,Engelsmotive
13,"düsteres panorama, bevölkerung, babylon, eindringlicher protest, volk",533,2015-2019,Gesellschaftskritik und Krieg
14,"sommerliebe, blue moon, luna, sommernacht, mond steht",101,2015-2019,Mondmotive und Liebe
15,"jah, manifestes, gemeinsames handeln, kollektive gewissen, kollektives erwachen",384,2015-2019,Solidarität und Kollektivität
16,"segelns, kapitän, maritime, schiffes, segel",228,2015-2019,Motive des Meeres
